question_category,prob_correct,question_count
audio_existential,0.40918746680828444,269
audio_counting,0.43840579710144867,805
audio_comparison,0.5,389
audio_temporal,0.02173913043478266,118
audio_causal,0.33333333333333326,18
audio_overall,0.41654366018098754,1599
visual_existential,0.5,69
visual_localization,0.25654735224434844,679
visual_counting,0.24930410577592263,958
visual_temporal,0.5,365
visual_causal,0.20000000000000026,209
visual_overall,0.29466183574879234,2280
av_existential,0.4060696294766307,1263
av_counting,0.10429769392033468,1272
av_localization,0.327283605903469,327
av_comparison,0.5,414
av_temporal,0.18297741588569622,566
av_causal,0.42388059701492536,335
av_purpose,0.36000000000000076,225
av_overall,0.292167097959425,4402
overall,0.31687016825915154,8281
