epoch,loss_qa,loss_match,loss_both,train_accuracy
1,1.4013463258743286,0.6868188977241516,1.744755744934082,33.353459727086104
2,0.9781025648117065,0.6840044856071472,1.3201048374176025,45.984784446322905
3,0.9702255725860596,0.6921457648277283,1.316298484802246,50.440768023185605
4,1.0774788856506348,0.6764956712722778,1.415726661682129,51.515517449583385
5,0.5742877721786499,0.697654128074646,0.9231148362159729,54.353338968723584
6,1.037663221359253,0.6717796921730042,1.3735530376434326,54.94505494505494
7,1.1971591711044312,0.6795656085014343,1.5369420051574707,56.140562733969325
8,2.016718864440918,0.6646264791488647,2.349032163619995,56.683975365294046
9,0.7285448908805847,0.6848175525665283,1.070953607559204,59.67878275570583
10,0.9889426827430725,0.6597050428390503,1.3187952041625977,60.403332930805455
11,1.2986760139465332,0.6520606279373169,1.6247062683105469,60.681077164593646
12,1.6386140584945679,0.6610473394393921,1.9691376686096191,61.00712474338848
13,0.4390185475349426,0.6776179671287537,0.7778275012969971,61.393551503441614
14,1.0253936052322388,0.6833537817001343,1.3670704364776611,61.51430986595822
15,0.8557608127593994,0.6897817850112915,1.2006516456604004,61.79205409974641
16,0.6402885913848877,0.6866626143455505,0.9836199283599854,61.936964134766335
17,1.1718363761901855,0.7038949131965637,1.523783802986145,62.38377007607777
18,0.3932341933250427,0.6570144891738892,0.7217414379119873,62.552831783601015
19,1.020120620727539,0.6883498430252075,1.364295482635498,62.60113512860766
20,1.5174174308776855,0.6608225703239441,1.84782874584198,62.74604516362758
21,1.5305811166763306,0.6946921944618225,1.8779271841049194,62.61321096485932
22,1.154765009880066,0.6404111981391907,1.4749705791473389,62.564907619852676
23,1.0197813510894775,0.6743374466896057,1.356950044631958,62.72189349112426
24,1.3250600099563599,0.6769350171089172,1.663527488708496,62.903031034899165
25,1.5208441019058228,0.6742113828659058,1.8579497337341309,62.86680352614419
26,0.938934326171875,0.6565840840339661,1.2672263383865356,62.86680352614419
27,1.104306697845459,0.6850906014442444,1.4468519687652588,62.903031034899165
28,0.5823857188224792,0.6589838862419128,0.9118776321411133,62.818500181137544
29,0.5982573628425598,0.6693695187568665,0.9329421520233154,62.74604516362758
30,1.0183064937591553,0.6500784158706665,1.3433456420898438,62.830576017389205
